"Scenario","Replicate","Generations","Length_of_benchmarking_reference","Distance_from_HXB2","Average_pairwise_diversity_of_quasispecies","ENV_diversity","Assembly","contigs_..._0_bp.","contigs_..._1000_bp.","contigs_..._5000_bp.","contigs_..._10000_bp.","contigs_..._25000_bp.","contigs_..._50000_bp.","Total_length_..._0_bp.","Total_length_..._1000_bp.","Total_length_..._5000_bp.","Total_length_..._10000_bp.","Total_length_..._25000_bp.","Total_length_..._50000_bp.","contigs","Largest_contig","Total_length","Reference_length","GC_...","Reference_GC_...","N50","NG50","L50","LG50","total_reads","left","right","Mapped_...","Reference_mapped_...","Properly_paired_...","Reference_properly_paired_...","Avg_coverage_depth","Reference_avg_coverage_depth","Coverage_.._1x_...","Reference_coverage_.._1x_...","misassemblies","misassembled_contigs","Misassembled_contigs_length","local_misassemblies","scaffold_gap_ext_mis","scaffold_gap_loc_mis","unaligned_mis_contigs","unaligned_contigs","Unaligned_length","Genome_fraction_...","Duplication_ratio","N.s_per_100_kbp","mismatches_per_100_kbp","indels_per_100_kbp","Largest_alignment","Total_aligned_length","NA50","NGA50","LA50","LGA50","ID","total_reads.1","left.1","right.1","mapped","Mapped_....1","properly_paired","Properly_paired_....1","singletons","Singletons_...","misjoint_mates","Misjoint_mates_...","Avg_coverage_depth.1","Coverage_.._1x_....1","Coverage_.._5x_...","Coverage_.._10x_...","reference_mapped","Reference_mapped_....1","reference_properly_paired","Reference_properly_paired_....1","reference_singletons","Reference_singletons_...","reference_misjoint_mates","Reference_misjoint_mates_...","Reference_avg_coverage_depth.1","Reference_coverage_.._1x_....1","Reference_coverage_.._5x_...","Reference_coverage_.._10x_...","Assembly.1","misassemblies.1","contig_misassemblies","c_relocations","c_translocations","c_inversions","scaffold_misassemblies","s_relocations","s_translocations","s_inversions","misassembled_contigs.1","Misassembled_contigs_length.1","local_misassemblies.1","scaffold_gap_ext_mis.1","scaffold_gap_loc_mis.1","unaligned_mis_contigs.1","mismatches","indels","indels_..._5_bp.","indels_.._5_bp.","Indels_length","fully_unaligned_contigs","Fully_unaligned_length","partially_unaligned_contigs","Partially_unaligned_length","N.s","pos_correct","poserr_major","poserr_ltr","poserr_unmapped","poserr_extramapped","Accuracy","Precision","Sensitivity","Specificity","F1score","User_time","System_time","Elapsed_time","MRSS","File_outputs","CPU_percentage"
"V2.1249","SIM_C_highcov_cont","replicate18",616,8646,1080,197.39758,13.43293,"smaltalign_genome",1,1,1,0,0,0,8571,8571,8571,0,0,0,1,8571,8571,8646,"40.31",40.4,8571,"8571",1,"1",94106,175000,175000,365.18,368,358.44,362.99,9962,10001,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"99.453","0.997",0,"70.39","187.71","8524","8524","8524","8524","1","1","SIM_C_highcov_cont_replicate18_smaltalign_genome",94106,175000,175000,343659,365.18,337318,358.44,6341,6.74,0,0,9962,100,100,100,345297,368,340594,362.99,4703,5.01,0,0,10001,100,100,100,"smaltalign_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","16","13","3","75",0,0,"0","0",0,343535,0,0,6341,124,0.992524,0.958793,0.99314,0.992414,0.975665,2270.33,22.45," 14;42.40",1448200,2127648," 259%"
"V2.2249","SIM_C_highcov_cont","replicate18",616,8646,1080,197.39758,13.43293,"viralngs_genome",1,1,1,0,0,0,8595,8595,8595,0,0,0,1,8595,8595,8646,"40.41",40.4,8595,"8595",1,"1",93312,175000,175000,370.18,368,365.26,362.99,10023,10001,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"100","1",0,"302.5","162.89","8595","8595","8595","8595","1","1","SIM_C_highcov_cont_replicate18_viralngs_genome",93312,175000,175000,345418,370.18,340836,365.26,4582,4.91,0,0,10023,100,100,100,345297,368,340594,362.99,4703,5.01,0,0,10001,100,100,100,"viralngs_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","14","12","2","51",0,0,"0","0",0,345282,0,0,4582,136,0.993904,0.961172,1,0.99282,0.980202,635.33,20.4," 3;23.02",1254592,3696608," 322%"
"V2.3249","SIM_C_highcov_cont","replicate18",616,8646,1080,197.39758,13.43293,"vpipe_genome",1,1,1,0,0,0,8628,8628,8628,0,0,0,1,8628,8628,8646,"40.75",40.4,8628,"8628",1,"1",102584,175000,175000,320.95,368,304.68,362.99,9450,10001,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"98.289","1.004",0,"1002.24","436.27","8481","8481","8481","8481","1","1","SIM_C_highcov_cont_replicate18_vpipe_genome",102584,175000,175000,329240,320.95,312552,304.68,16688,16.27,0,0,9450,100,100,100,345297,368,340594,362.99,4703,5.01,0,0,10001,100,100,100,"vpipe_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","37","30","7","129",0,0,"0","0",0,329117,0,0,20760,123,0.982977,0.929838,0.959604,0.987131,0.944486,1692.64,613.84," 12;56.66",1179872,14711176," 296%"
"V2250","SIM_C_highcov_cont","replicate19",230,8634,1072,88.765051,6.590505,"shiver_genome",1,1,1,0,0,0,8595,8595,8595,0,0,0,1,8595,8595,8634,"40.4",40.4,8595,"8595",1,"1",91532,175000,175000,377.39,376.38,372.39,371.4,10027,10016,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"100","1",0,"0","127.98","8595","8595","8595","8595","1","1","SIM_C_highcov_cont_replicate19_shiver_genome",91532,175000,175000,345430,377.39,340860,372.39,4570,4.99,0,0,10027,100,100,100,345430,376.38,340860,371.4,4570,4.98,0,0,10016,100,100,100,"shiver_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","9","2","39",0,0,"0","0",0,345430,0,0,4570,0,0.997581,0.980545,0.999009,0.997393,0.989691,3977.61,77.44," 1;04;07",1340028,15470456," 105%"
"V2.1250","SIM_C_highcov_cont","replicate19",230,8634,1072,88.765051,6.590505,"smaltalign_genome",1,1,1,0,0,0,8574,8574,8574,0,0,0,1,8574,8574,8634,"40.38",40.4,8574,"8574",1,"1",92326,175000,175000,372.5,376.38,365.92,371.4,9971,10016,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"99.453","0.998",0,"35.18","140.73","8527","8527","8527","8527","1","1","SIM_C_highcov_cont_replicate19_smaltalign_genome",92326,175000,175000,343918,372.5,337836,365.92,6082,6.59,0,0,9971,100,99.86,99.86,345430,376.38,340860,371.4,4570,4.98,0,0,10016,100,100,100,"smaltalign_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","12","9","3","60",0,0,"0","0",0,343918,0,0,6082,0,0.995853,0.97371,0.99108,0.996481,0.982318,1902.01,22.71," 11;43.68",1448296,2086400," 273%"
"V2.2250","SIM_C_highcov_cont","replicate19",230,8634,1072,88.765051,6.590505,"viralngs_genome",1,1,1,0,0,0,8595,8595,8595,0,0,0,1,8595,8595,8634,"40.4",40.4,8595,"8595",1,"1",91532,175000,175000,377.39,376.38,372.39,371.4,10027,10016,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"100","1",0,"0","127.98","8595","8595","8595","8595","1","1","SIM_C_highcov_cont_replicate19_viralngs_genome",91532,175000,175000,345430,377.39,340860,372.39,4570,4.99,0,0,10027,100,100,100,345430,376.38,340860,371.4,4570,4.98,0,0,10016,100,100,100,"viralngs_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","9","2","39",0,0,"0","0",0,345430,0,0,4570,0,0.997581,0.980545,0.999009,0.997393,0.989691,640.23,21.19," 4;35.37",1254488,3785024," 240%"
"V2.3250","SIM_C_highcov_cont","replicate19",230,8634,1072,88.765051,6.590505,"vpipe_genome",1,1,1,0,0,0,8631,8631,8631,0,0,0,1,8631,8631,8634,"40.75",40.4,8631,"8631",1,"1",100923,175000,175000,326.99,376.38,310.98,371.4,9477,10016,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"98.057","1.004",0,"897.92","437.15","8464","8464","8464","8464","1","1","SIM_C_highcov_cont_replicate19_vpipe_genome",100923,175000,175000,330004,326.99,313846,310.98,16158,16.01,0,0,9477,100,99.86,99.86,345430,376.38,340860,371.4,4570,4.98,0,0,10016,100,100,100,"vpipe_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","76","37","31","6","125",0,0,"0","0",0,330004,0,0,19996,0,0.983068,0.932731,0.920714,0.991268,0.926683,1581.3,549.17," 12;25.97",1179844,14559432," 285%"
"V2251","SIM_C_highcov_cont","replicate2",1202,8608,1192,191.87616,11.51293,"shiver_genome",1,1,1,0,0,0,8593,8593,8593,0,0,0,1,8593,8593,8608,"40.3",40.3,8593,"8593",1,"1",350000,175000,175000,98.75,98.75,97.5,97.5,10032,10028,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"100","1",0,"0","46.55","8593","8593","8593","8593","1","1","SIM_C_highcov_cont_replicate2_shiver_genome",350000,175000,175000,345628,98.75,341256,97.5,4372,1.25,0,0,10032,100,100,100,345628,98.75,341256,97.5,4372,1.25,0,0,10028,100,100,100,"shiver_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","1","15",0,0,"0","0",0,345628,0,0,4372,0,0.993766,0.961538,1,0.992615,0.980392,18731.16,295.61," 5;01;16",1339764,60142432," 105%"
"V2.1251","SIM_C_highcov_cont","replicate2",1202,8608,1192,191.87616,11.51293,"smaltalign_genome",1,1,1,0,0,0,8571,8571,8571,0,0,0,1,8571,8571,8608,"40.22",40.3,8571,"8571",1,"1",350000,175000,175000,98.25,98.75,96.51,97.5,9971,10028,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"99.406","1.004",0,"58.54","58.54","8521","8521","8521","8521","1","1","SIM_C_highcov_cont_replicate2_smaltalign_genome",350000,175000,175000,343888,98.25,337776,96.51,6112,1.75,0,0,9971,100,100,100,345628,98.75,341256,97.5,4372,1.25,0,0,10028,100,100,100,"smaltalign_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","3","2","36",0,0,"0","0",0,343888,0,0,6112,0,0.99215,0.959169,0.991852,0.992205,0.975237,2311.98,21.75," 14;52.75",1433412,2122760," 261%"
"V2.2251","SIM_C_highcov_cont","replicate2",1202,8608,1192,191.87616,11.51293,"viralngs_genome",1,1,1,0,0,0,8593,8593,8593,0,0,0,1,8593,8593,8608,"40.14",40.3,8593,"8593",1,"1",350000,175000,175000,92.45,98.75,84.89,97.5,9337,10028,96.33,100,"0","0","0","0","0","2","0","0 + 0 part",0,"96.334","1.038",3665.77,"326.21","48.33","8278","8278","8278","8278","1","1","SIM_C_highcov_cont_replicate2_viralngs_genome",350000,175000,175000,323565,92.45,297130,84.89,26435,7.55,0,0,9337,96.33,96.33,96.33,345628,98.75,341256,97.5,4372,1.25,0,0,10028,100,100,100,"viralngs_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","27","4","3","1","15",0,0,"0","0",315,323565,0,0,26435,0,0.987763,0.966267,0.954815,0.993846,0.960507,483.3,30.48," 4;01.23",1382836,3455336," 212%"
"V2.3251","SIM_C_highcov_cont","replicate2",1202,8608,1192,191.87616,11.51293,"vpipe_genome",1,1,1,0,0,0,8608,8608,8608,0,0,0,1,8608,8608,8608,"40.74",40.3,8608,"8608",1,"1",350000,175000,175000,88.41,98.75,78.98,97.5,8859,10028,99.41,100,"0","0","0","0","0","0","0","0 + 0 part",0,"97.986","1.022",0,"2066.75","427.6","8438","8438","8438","8438","1","1","SIM_C_highcov_cont_replicate2_vpipe_genome",350000,175000,175000,309440,88.41,276414,78.98,33026,9.44,0,0,8859,99.41,99.31,99.3,345628,98.75,341256,97.5,4372,1.25,0,0,10028,100,100,100,"vpipe_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","174","36","31","5","133",0,0,"0","0",0,309440,0,0,40560,0,0.9716,0.879121,0.948148,0.97593,0.912331,1938.24,730.31," 14;28.01",1178768,13394288," 307%"
"V2252","SIM_C_highcov_cont","replicate20",690,8625,1093,192.15152,11.44869,"shiver_genome",1,1,1,0,0,0,8595,8595,8595,0,0,0,1,8595,8595,8625,"40.3",40.31,8595,"8595",1,"1",94773,175000,175000,364.53,363.37,359.76,358.49,10026,10011,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"100","1",0,"0","104.71","8595","8595","8595","8595","1","1","SIM_C_highcov_cont_replicate20_shiver_genome",94773,175000,175000,345476,364.53,340952,359.76,4524,4.77,0,0,10026,100,100,100,345362,363.37,340724,358.49,4638,4.88,0,0,10011,100,100,100,"shiver_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","8","1","30",0,0,"0","0",0,345360,0,0,4524,116,0.996889,0.980726,0.999245,0.996465,0.989899,5218.07,83.87," 1;24;20",1341464,21768696," 104%"
"V2.1252","SIM_C_highcov_cont","replicate20",690,8625,1093,192.15152,11.44869,"smaltalign_genome",1,1,1,0,0,0,8595,8595,8595,0,0,0,1,8595,8595,8625,"40.29",40.31,8595,"8595",1,"1",94953,175000,175000,363.43,363.37,358.25,358.49,10014,10011,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"99.453","1",0,"116.99","105.29","8548","8548","8548","8548","1","1","SIM_C_highcov_cont_replicate20_smaltalign_genome",94953,175000,175000,345084,363.43,340168,358.25,4916,5.18,0,0,10014,100,100,100,345362,363.37,340724,358.49,4638,4.88,0,0,10011,100,100,100,"smaltalign_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","9","8","1","30",0,0,"0","0",0,344968,0,0,4916,116,0.996428,0.979244,0.997734,0.996193,0.988403,2257.37,20.82," 14;40.35",1448396,2113736," 258%"
"V2.2252","SIM_C_highcov_cont","replicate20",690,8625,1093,192.15152,11.44869,"viralngs_genome",1,1,1,0,0,0,8595,8595,8595,0,0,0,1,8595,8595,8625,"40.28",40.31,8595,"8595",1,"1",94777,175000,175000,364.51,363.37,359.74,358.49,10025,10011,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"100","1",93.08,"372.31","104.71","8595","8595","8595","8595","1","1","SIM_C_highcov_cont_replicate20_viralngs_genome",94777,175000,175000,345474,364.51,340948,359.74,4526,4.78,0,0,10025,100,100,100,345362,363.37,340724,358.49,4638,4.88,0,0,10011,100,100,100,"viralngs_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32","9","8","1","30",0,0,"0","0",8,345360,0,0,4526,114,0.996428,0.979955,0.996979,0.996329,0.988394,641.31,20.56," 3;31.63",1253792,3701432," 312%"
"V2.3252","SIM_C_highcov_cont","replicate20",690,8625,1093,192.15152,11.44869,"vpipe_genome",1,1,1,0,0,0,8610,8610,8610,0,0,0,1,8610,8610,8625,"40.78",40.31,8610,"8610",1,"1",109390,175000,175000,291.33,363.37,267.23,358.49,9110,10011,99.35,100,"0","0","0","0","0","0","0","0 + 0 part",0,"98.394","1.002",0,"1593.48","507.55","8472","8472","8472","8472","1","1","SIM_C_highcov_cont_replicate20_vpipe_genome",109390,175000,175000,318681,291.33,292322,267.23,26359,24.1,0,0,9110,99.35,99.3,99.3,345362,363.37,340724,358.49,4638,4.88,0,0,10011,100,100,100,"vpipe_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","135","43","37","6","152",0,0,"0","0",0,318565,0,0,31319,116,0.978454,0.919557,0.941088,0.98518,0.930198,1797.66,645.91," 13;32.92",1177796,14544064," 300%"
"V2253","SIM_C_highcov_cont","replicate3",937,8625,1084,260.90222,17.41253,"shiver_genome",1,1,1,0,0,0,8601,8601,8601,0,0,0,1,8601,8601,8625,"40.23",40.29,8601,"8601",1,"1",350000,175000,175000,98.71,98.71,97.41,97.41,10015,10010,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"100","1.001",0,"221.06","93.08","8601","8601","8601","8601","1","1","SIM_C_highcov_cont_replicate3_shiver_genome",350000,175000,175000,345472,98.71,340944,97.41,4528,1.29,0,0,10015,100,100,100,345472,98.71,340944,97.41,4528,1.29,0,0,10010,100,100,100,"shiver_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","8","8","0","24",0,0,"0","0",0,345472,0,0,4528,0,0.993663,0.964958,0.999328,0.992491,0.981842,7325.51,141.4," 1;59;28",1339928,21720408," 104%"
"V2.1253","SIM_C_highcov_cont","replicate3",937,8625,1084,260.90222,17.41253,"smaltalign_genome",1,1,1,0,0,0,8600,8600,8600,0,0,0,1,8600,8600,8625,"40.24",40.29,8600,"8600",1,"1",350000,175000,175000,98.62,98.71,97.23,97.41,10007,10010,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"99.314","1.007",0,"316.31","93.72","8542","8542","8542","8542","1","1","SIM_C_highcov_cont_replicate3_smaltalign_genome",350000,175000,175000,345161,98.62,340322,97.23,4839,1.38,0,0,10007,100,100,100,345472,98.71,340944,97.41,4528,1.29,0,0,10010,100,100,100,"smaltalign_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","8","8","0","24",0,0,"0","0",0,345161,0,0,4839,0,0.993087,0.961837,0.999328,0.991795,0.980224,2527.84,21.81," 17;27.73",1448212,2133976," 243%"
"V2.2253","SIM_C_highcov_cont","replicate3",937,8625,1084,260.90222,17.41253,"viralngs_genome",1,1,1,0,0,0,8595,8595,8595,0,0,0,1,8595,8595,8625,"40.23",40.29,8595,"8595",1,"1",350000,175000,175000,94.99,98.71,90.03,97.41,9584,10010,97.84,100,"0","0","0","0","0","1","0","0 + 0 part",0,"97.836","1.022",4525.89,"963.25","107.03","8409","8409","8409","8409","1","1","SIM_C_highcov_cont_replicate3_viralngs_genome",350000,175000,175000,332456,94.99,315112,90.03,17344,4.96,0,0,9584,97.84,97.84,97.84,345472,98.71,340944,97.41,4528,1.29,0,0,10010,100,100,100,"viralngs_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","81","9","8","1","30",0,0,"0","0",389,332446,0,0,17544,10,0.986058,0.968472,0.949597,0.993603,0.958941,489.81,30.53," 3;48.84",1384656,3455424," 227%"
"V2.3253","SIM_C_highcov_cont","replicate3",937,8625,1084,260.90222,17.41253,"vpipe_genome",1,1,1,0,0,0,8631,8631,8631,0,0,0,1,8631,8631,8625,"40.64",40.29,8631,"8631",1,"1",350000,175000,175000,90.82,98.71,83.31,97.41,9093,10010,99.36,100,"0","0","0","0","0","0","0","0 + 0 part",0,"97.987","1.025",0,"1887.91","427.45","8460","8460","8460","8460","1","1","SIM_C_highcov_cont_replicate3_vpipe_genome",350000,175000,175000,317861,90.82,291598,83.31,26263,7.5,0,0,9093,99.36,99.3,99.3,345472,98.71,340944,97.41,4528,1.29,0,0,10010,100,100,100,"vpipe_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","159","36","32","4","124",0,0,"0","0",0,317861,0,0,32139,0,0.974075,0.902999,0.950941,0.978862,0.92635,1820.14,663.73," 13;39.66",1180856,13392608," 303%"
"V2254","SIM_C_highcov_cont","replicate4",168,8616,1039,62.028687,3.285253,"shiver_genome",1,1,1,0,0,0,8601,8601,8601,0,0,0,1,8601,8601,8616,"40.44",40.44,8601,"8601",1,"1",350000,175000,175000,98.76,98.75,97.51,97.51,10028,10024,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"100","1",0,"0","34.88","8601","8601","8601","8601","1","1","SIM_C_highcov_cont_replicate4_shiver_genome",350000,175000,175000,345651,98.76,341302,97.51,4349,1.24,0,0,10028,100,100,100,345640,98.75,341280,97.51,4360,1.25,0,0,10024,100,100,100,"shiver_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","2","15",0,0,"0","0",0,345640,0,0,4349,11,0.995383,0.948849,1,0.994951,0.973753,2189.14,82.44," 36;34.74",1339916,9852264," 103%"
"V2.1254","SIM_C_highcov_cont","replicate4",168,8616,1039,62.028687,3.285253,"smaltalign_genome",1,1,1,0,0,0,8579,8579,8579,0,0,0,1,8579,8579,8616,"40.39",40.44,8579,"8579",1,"1",350000,175000,175000,98.41,98.75,96.82,97.51,9981,10024,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"99.384","1.004",0,"0","46.79","8527","8527","8527","8527","1","1","SIM_C_highcov_cont_replicate4_smaltalign_genome",350000,175000,175000,344439,98.41,338878,96.82,5561,1.59,0,0,9981,100,100,100,345640,98.75,341280,97.51,4360,1.25,0,0,10024,100,100,100,"smaltalign_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","3","36",0,0,"0","0",0,344428,0,0,5561,11,0.993767,0.941026,0.989218,0.994193,0.96452,1820.29,20.21," 10;46.46",1448300,2065136," 284%"
"V2.2254","SIM_C_highcov_cont","replicate4",168,8616,1039,62.028687,3.285253,"viralngs_genome",1,1,1,0,0,0,8601,8601,8601,0,0,0,1,8601,8601,8616,"40.44",40.44,8601,"8601",1,"1",350000,175000,175000,98.76,98.75,97.51,97.51,10028,10024,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"100","1",0,"0","34.88","8601","8601","8601","8601","1","1","SIM_C_highcov_cont_replicate4_viralngs_genome",350000,175000,175000,345650,98.76,341300,97.51,4350,1.24,0,0,10028,100,100,100,345640,98.75,341280,97.51,4360,1.25,0,0,10024,100,100,100,"viralngs_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","2","15",0,0,"0","0",0,345639,0,0,4350,11,0.995383,0.948849,1,0.994951,0.973753,528.59,30.54," 5;29.74",1380780,3551344," 169%"
"V2.3254","SIM_C_highcov_cont","replicate4",168,8616,1039,62.028687,3.285253,"vpipe_genome",1,1,1,0,0,0,8644,8644,8644,0,0,0,1,8644,8644,8616,"40.77",40.44,8644,"8644",1,"1",350000,175000,175000,95.92,98.75,92.1,97.51,9635,10024,99.73,100,"0","0","0","0","0","0","0","0 + 0 part",0,"97.989","1.026",0,"652.59","237.3","8473","8473","8473","8473","1","1","SIM_C_highcov_cont_replicate4_vpipe_genome",350000,175000,175000,335733,95.92,322342,92.1,13391,3.83,0,0,9635,99.73,99.27,99.27,345640,98.75,341280,97.51,4360,1.25,0,0,10024,100,100,100,"vpipe_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55","20","16","4","86",0,0,"0","0",0,335725,0,0,14267,8,0.986496,0.883436,0.97035,0.988008,0.924855,1530.42,523.8," 11;35.55",1181172,13401816," 295%"
"V2255","SIM_C_highcov_cont","replicate5",831,8633,1107,210.55818,15.45778,"shiver_genome",1,1,1,0,0,0,8605,8605,8605,0,0,0,1,8605,8605,8633,"40.12",40.12,8605,"8605",1,"1",350000,175000,175000,98.73,98.73,97.46,97.47,10012,10006,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"99.988","1",0,"0","92.97","8605","8605","8605","8605","1","1","SIM_C_highcov_cont_replicate5_shiver_genome",350000,175000,175000,345547,98.73,341094,97.46,4453,1.27,0,0,10012,100,100,100,345568,98.73,341136,97.47,4432,1.27,0,0,10006,100,100,100,"shiver_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","7","1","27",0,0,"0","0",0,345547,0,0,4453,0,0.996661,0.978916,0.999231,0.996208,0.988969,30099.29,429.94," 8;02;47",1340112,93748304," 105%"
"V2.1255","SIM_C_highcov_cont","replicate5",831,8633,1107,210.55818,15.45778,"smaltalign_genome",1,1,1,0,0,0,8583,8583,8583,0,0,0,1,8583,8583,8633,"40.07",40.12,8583,"8583",1,"1",350000,175000,175000,98.22,98.73,96.43,97.47,9950,10006,99.98,100,"0","0","0","0","0","0","0","0 + 0 part",0,"99.326","1.004",0,"70.19","105.29","8527","8527","8527","8527","1","1","SIM_C_highcov_cont_replicate5_smaltalign_genome",350000,175000,175000,343760,98.22,337520,96.43,6240,1.78,0,0,9950,99.98,99.98,99.98,345568,98.73,341136,97.47,4432,1.27,0,0,10006,100,100,100,"smaltalign_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","9","7","2","48",0,0,"0","0",0,343760,0,0,6240,0,0.995394,0.975849,0.993851,0.995666,0.984768,2316.12,19.91," 15;10.94",1448232,2113120," 256%"
"V2.2255","SIM_C_highcov_cont","replicate5",831,8633,1107,210.55818,15.45778,"viralngs_genome",1,1,1,0,0,0,8589,8589,8589,0,0,0,1,8589,8589,8633,"40.06",40.12,8589,"8589",1,"1",350000,175000,175000,98.62,98.73,97.24,97.47,10018,10006,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"99.698","1.001",81.5,"629.37","93.24","8580","8580","8580","8580","1","1","SIM_C_highcov_cont_replicate5_viralngs_genome",350000,175000,175000,345176,98.62,340352,97.24,4824,1.38,0,0,10018,100,100,100,345568,98.73,341136,97.47,4432,1.27,0,0,10006,100,100,100,"viralngs_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54","8","7","1","27",0,0,"0","0",7,345152,0,0,4824,24,0.99597,0.979545,0.993851,0.996343,0.986646,488.93,30.32," 4;00.37",1384736,3444616," 216%"
"V2.3255","SIM_C_highcov_cont","replicate5",831,8633,1107,210.55818,15.45778,"vpipe_genome",1,1,1,0,0,0,8608,8608,8608,0,0,0,1,8608,8608,8633,"40.49",40.12,8608,"8608",1,"1",350000,175000,175000,93.51,98.73,88.16,97.47,9370,10006,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"98.327","1.017",0,"1004.49","437.25","8471","8471","8471","8471","1","1","SIM_C_highcov_cont_replicate5_vpipe_genome",350000,175000,175000,327271,93.51,308560,88.16,18711,5.35,0,0,9370,100,100,100,345568,98.73,341136,97.47,4432,1.27,0,0,10006,100,100,100,"vpipe_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","37","31","6","148",0,0,"0","0",0,327271,0,0,22729,0,0.984684,0.933878,0.96618,0.987945,0.949754,1770.86,642.85," 13;43.23",1177200,13418992," 293%"
"V2256","SIM_C_highcov_cont","replicate6",221,8631,1059,82.754747,5.494141,"shiver_genome",1,1,1,0,0,0,8601,8601,8601,0,0,0,1,8601,8601,8631,"40.43",40.43,8601,"8601",1,"1",350000,175000,175000,98.77,98.77,97.54,97.54,10029,10018,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"100","1",0,"0","93.01","8601","8601","8601","8601","1","1","SIM_C_highcov_cont_replicate6_shiver_genome",350000,175000,175000,345702,98.77,341404,97.54,4298,1.23,0,0,10029,100,100,100,345702,98.77,341404,97.54,4298,1.23,0,0,10018,100,100,100,"shiver_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","7","1","30",0,0,"0","0",0,345702,0,0,4298,0,0.996313,0.963091,1,0.99592,0.981199,27290.39,424.78," 7;16;24",1340204,88567024," 105%"
"V2.1256","SIM_C_highcov_cont","replicate6",221,8631,1059,82.754747,5.494141,"smaltalign_genome",1,1,1,0,0,0,8579,8579,8579,0,0,0,1,8579,8579,8631,"40.38",40.43,8579,"8579",1,"1",350000,175000,175000,98.43,98.77,96.86,97.54,9984,10018,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"99.384","1.004",0,"0","105.29","8527","8527","8527","8527","1","1","SIM_C_highcov_cont_replicate6_smaltalign_genome",350000,175000,175000,344501,98.43,339002,96.86,5499,1.57,0,0,9984,100,100,100,345702,98.77,341404,97.54,4298,1.23,0,0,10018,100,100,100,"smaltalign_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","7","2","51",0,0,"0","0",0,344501,0,0,5499,0,0.994815,0.955069,0.992814,0.995028,0.973576,1888.53,19.8," 11;38.83",1448472,2075192," 273%"
