"Dataset","Sample","Length_of_benchmarking_reference","Distance_from_HXB2","Assembly","contigs_..._0_bp.","contigs_..._1000_bp.","contigs_..._5000_bp.","contigs_..._10000_bp.","contigs_..._25000_bp.","contigs_..._50000_bp.","Total_length_..._0_bp.","Total_length_..._1000_bp.","Total_length_..._5000_bp.","Total_length_..._10000_bp.","Total_length_..._25000_bp.","Total_length_..._50000_bp.","contigs","Largest_contig","Total_length","Reference_length","GC_...","Reference_GC_...","N50","NG50","N90","NG90","auN","auNG","L50","LG50","L90","LG90","total_reads","left","right","Mapped_...","Reference_mapped_...","Properly_paired_...","Reference_properly_paired_...","Avg_coverage_depth","Reference_avg_coverage_depth","Coverage_.._1x_...","Reference_coverage_.._1x_...","misassemblies","misassembled_contigs","Misassembled_contigs_length","local_misassemblies","scaffold_gap_ext_mis","scaffold_gap_loc_mis","structural_variations","unaligned_mis_contigs","unaligned_contigs","Unaligned_length","Genome_fraction_...","Duplication_ratio","N.s_per_100_kbp","mismatches_per_100_kbp","indels_per_100_kbp","Largest_alignment","Total_aligned_length","NA50","NGA50","NA90","NGA90","auNA","auNGA","LA50","LGA50","LA90","LGA90","ID","total_reads.1","left.1","right.1","mapped","Mapped_....1","properly_paired","Properly_paired_....1","singletons","Singletons_...","misjoint_mates","Misjoint_mates_...","Avg_coverage_depth.1","Coverage_.._1x_....1","Coverage_.._5x_...","Coverage_.._10x_...","reference_mapped","Reference_mapped_....1","reference_properly_paired","Reference_properly_paired_....1","reference_singletons","Reference_singletons_...","reference_misjoint_mates","Reference_misjoint_mates_...","Reference_avg_coverage_depth.1","Reference_coverage_.._1x_....1","Reference_coverage_.._5x_...","Reference_coverage_.._10x_...","Assembly.1","misassemblies.1","contig_misassemblies","c_relocations","c_translocations","c_inversions","scaffold_misassemblies","s_relocations","s_translocations","s_inversions","misassembled_contigs.1","Misassembled_contigs_length.1","local_misassemblies.1","scaffold_gap_ext_mis.1","scaffold_gap_loc_mis.1","structural_variations.1","unaligned_mis_contigs.1","mismatches","indels","indels_..._5_bp.","indels_.._5_bp.","Indels_length","fully_unaligned_contigs","Fully_unaligned_length","partially_unaligned_contigs","Partially_unaligned_length","N.s","pos_correct","poserr_major","poserr_ltr","poserr_unmapped","poserr_extramapped","Accuracy","Precision","Sensitivity","Specificity","F1score","User_time","System_time","Elapsed_time","MRSS","File_outputs","CPU_percentage"
"V2.348","SSNGS_HUN_PRRT","SSNGS_102.2019.2_PRRT",1013,NA,"vpipe_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,37.51,37.09,1013,1013,1013,1013,1013,1013,1,1,1,1,691568,383123,383123,18.46,18.43,14.7,14.69,18284,18263,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.01,0,592.3,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_102.2019.2_PRRT_vpipe_genome",691568,383123,383123,127672,18.46,101688,14.7,23002,3.33,0,0,18284,100,100,100,127490,18.43,101586,14.69,22918,3.31,0,0,18263,100,100,100,"vpipe_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,127426,0,0,638574,246,0.984205,0.986965,0.983302,0.985232,0.98513,49144.46,10169.12," 4;17;28",1187944,19332168," 383%"
"V249","SSNGS_HUN_PRRT","SSNGS_104.2018_PRRT",1013,NA,"shiver_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,38.6,38.3,1013,1013,1013,1013,1013,1013,1,1,1,1,230895,125747,125747,21.64,21.62,17.44,17.42,6789,6789,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.013,0,197.43,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_104.2018_PRRT_shiver_genome",230895,125747,125747,49963,21.64,40272,17.44,7695,3.33,0,0,6789,100,100,100,49926,21.62,40232,17.42,7702,3.34,0,0,6789,100,100,100,"shiver_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,49922,0,0,201531,41,0.989141,0.988201,0.979532,0.994039,0.983847,806.26,19.41," 13;16.58",1549984,4073632," 103%"
"V2.149","SSNGS_HUN_PRRT","SSNGS_104.2018_PRRT",1013,NA,"smaltalign_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,38.6,38.3,1013,1013,1013,1013,1013,1013,1,1,1,1,230892,125747,125747,21.64,21.62,17.44,17.42,6789,6789,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.013,0,197.43,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_104.2018_PRRT_smaltalign_genome",230892,125747,125747,49966,21.64,40272,17.44,7698,3.33,0,0,6789,100,100,100,49926,21.62,40232,17.42,7702,3.34,0,0,6789,100,100,100,"smaltalign_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,49922,0,0,201528,44,0.989141,0.988201,0.979532,0.994039,0.983847,790.12,7.08," 4;43.92",1425880,1459944," 280%"
"V2.249","SSNGS_HUN_PRRT","SSNGS_104.2018_PRRT",1013,NA,"viralngs_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,38.8,38.3,1013,1013,1013,1013,1013,1013,1,1,1,1,230890,125747,125747,21.64,21.62,17.44,17.42,6788,6789,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.013,0,296.15,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_104.2018_PRRT_viralngs_genome",230890,125747,125747,49957,21.64,40264,17.44,7701,3.34,0,0,6788,100,100,100,49926,21.62,40232,17.42,7702,3.34,0,0,6789,100,100,100,"viralngs_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,49921,0,0,201537,36,0.988154,0.985294,0.979532,0.992548,0.982405,486.11,15.36," 3;59.18",959244,2858048," 209%"
"V2.349","SSNGS_HUN_PRRT","SSNGS_104.2018_PRRT",1013,NA,"vpipe_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,38.6,38.3,1013,1013,1013,1013,1013,1013,1,1,1,1,230894,125747,125747,21.64,21.62,17.44,17.42,6789,6789,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.013,0,197.43,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_104.2018_PRRT_vpipe_genome",230894,125747,125747,49964,21.64,40272,17.44,7696,3.33,0,0,6789,100,100,100,49926,21.62,40232,17.42,7702,3.34,0,0,6789,100,100,100,"vpipe_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,49922,0,0,201530,42,0.989141,0.988201,0.979532,0.994039,0.983847,13980.18,1668.76," 1;10;27",1195664,16964544," 370%"
"V250","SSNGS_HUN_PRRT","SSNGS_104.2020_PRRT",1013,NA,"shiver_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,37.02,37.02,1013,1013,1013,1013,1013,1013,1,1,1,1,506007,290614,290614,24.11,24.11,18.54,18.54,16886,16886,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1,0,0,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_104.2020_PRRT_shiver_genome",506007,290614,290614,122006,24.11,93820,18.54,20458,4.04,0,0,16886,100,100,100,122007,24.11,93820,18.54,20457,4.04,0,0,16886,100,100,100,"shiver_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122001,0,0,459222,5,0.999013,1,0.998043,1,0.999021,3463.52,52.74," 54;30.34",1539184,19143376," 107%"
"V2.150","SSNGS_HUN_PRRT","SSNGS_104.2020_PRRT",1013,NA,"smaltalign_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,37.02,37.02,1013,1013,1013,1013,1013,1013,1,1,1,1,506007,290614,290614,24.11,24.11,18.54,18.54,16885,16886,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1,0,0,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_104.2020_PRRT_smaltalign_genome",506007,290614,290614,122003,24.11,93816,18.54,20457,4.04,0,0,16885,100,100,100,122007,24.11,93820,18.54,20457,4.04,0,0,16886,100,100,100,"smaltalign_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121999,0,0,459225,4,0.995064,0.992218,0.998043,0.992032,0.995122,898.55,8.01," 5;03.93",1425876,1408704," 298%"
"V2.250","SSNGS_HUN_PRRT","SSNGS_104.2020_PRRT",1013,NA,"viralngs_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,37.02,37.02,1013,1013,1013,1013,1013,1013,1,1,1,1,506004,290614,290614,24.11,24.11,18.54,18.54,16885,16886,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1,0,0,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_104.2020_PRRT_viralngs_genome",506004,290614,290614,122005,24.11,93818,18.54,20457,4.04,0,0,16885,100,100,100,122007,24.11,93820,18.54,20457,4.04,0,0,16886,100,100,100,"viralngs_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122002,0,0,459223,3,0.997038,0.994163,1,0.994024,0.997073,1033.54,28.18," 7;10.00",1402028,7360592," 246%"
"V2.350","SSNGS_HUN_PRRT","SSNGS_104.2020_PRRT",1013,NA,"vpipe_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,37.02,37.02,1013,1013,1013,1013,1013,1013,1,1,1,1,506005,290614,290614,24.11,24.11,18.54,18.54,16886,16886,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1,0,0,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_104.2020_PRRT_vpipe_genome",506005,290614,290614,122006,24.11,93818,18.54,20456,4.04,0,0,16886,100,100,100,122007,24.11,93820,18.54,20457,4.04,0,0,16886,100,100,100,"vpipe_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122002,0,0,459222,4,0.996051,0.994152,0.998043,0.994024,0.996094,29981.15,6260.35," 2;39;45",1187116,18691520," 378%"
"V251","SSNGS_HUN_PRRT","SSNGS_104.2021_PRRT",1013,NA,"shiver_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,37.41,37.51,1013,1013,1013,1013,1013,1013,1,1,1,1,533504,308359,308359,25.77,25.74,21.33,21.3,19416,19407,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.008,0,0,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_104.2021_PRRT_shiver_genome",533504,308359,308359,137479,25.77,113822,21.33,18177,3.41,0,0,19416,100,100,100,137310,25.74,113642,21.3,18208,3.41,0,0,19407,100,100,100,"shiver_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137302,0,0,479239,177,0.987167,0.976909,1,0.971922,0.98832,1599.26,34.68," 25;50.64",1350448,11702520," 105%"
"V2.151","SSNGS_HUN_PRRT","SSNGS_104.2021_PRRT",1013,NA,"smaltalign_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,37.41,37.51,1013,1013,1013,1013,1013,1013,1,1,1,1,533502,308359,308359,25.77,25.74,21.33,21.3,19416,19407,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.008,0,0,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_104.2021_PRRT_smaltalign_genome",533502,308359,308359,137479,25.77,113822,21.33,18177,3.41,0,0,19416,100,100,100,137310,25.74,113642,21.3,18208,3.41,0,0,19407,100,100,100,"smaltalign_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137302,0,0,479239,177,0.987167,0.976909,1,0.971922,0.98832,977.9,7.14," 5;58.42",1425820,1451936," 274%"
"V2.251","SSNGS_HUN_PRRT","SSNGS_104.2021_PRRT",1013,NA,"viralngs_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,37.41,37.51,1013,1013,1013,1013,1013,1013,1,1,1,1,533504,308359,308359,25.77,25.74,21.33,21.3,19415,19407,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.008,0,0,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_104.2021_PRRT_viralngs_genome",533504,308359,308359,137477,25.77,113820,21.33,18177,3.41,0,0,19415,100,100,100,137310,25.74,113642,21.3,18208,3.41,0,0,19407,100,100,100,"viralngs_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137300,0,0,479241,177,0.987167,0.976909,1,0.971922,0.98832,1210.25,32.36," 7;10.14",1249148,8151384," 288%"
"V2.351","SSNGS_HUN_PRRT","SSNGS_104.2021_PRRT",1013,NA,"vpipe_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,37.41,37.51,1013,1013,1013,1013,1013,1013,1,1,1,1,533502,308359,308359,25.77,25.74,21.33,21.3,19416,19407,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.008,0,0,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_104.2021_PRRT_vpipe_genome",533502,308359,308359,137479,25.77,113822,21.33,18177,3.41,0,0,19416,100,100,100,137310,25.74,113642,21.3,18208,3.41,0,0,19407,100,100,100,"vpipe_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137302,0,0,479239,177,0.987167,0.976909,1,0.971922,0.98832,36830.76,8055.77," 3;17;12",1180920,18490792," 379%"
"V252","SSNGS_HUN_PRRT","SSNGS_108.2020_PRRT",1013,NA,"shiver_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,37.02,37.06,1013,1013,1013,1013,1013,1013,1,1,1,1,528697,306177,306177,26.97,26.97,21.69,21.7,20261,20286,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.001,0,0,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_108.2020_PRRT_shiver_genome",528697,306177,306177,142615,26.97,114668,21.69,22143,4.19,0,0,20261,100,100,100,142612,26.97,114710,21.7,22142,4.19,0,0,20286,100,100,100,"shiver_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142609,0,0,469739,6,0.995064,0.996855,0.99529,0.994681,0.996072,1338.18,31.23," 21;49.79",1550692,10135832," 104%"
"V2.152","SSNGS_HUN_PRRT","SSNGS_108.2020_PRRT",1013,NA,"smaltalign_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,37.02,37.06,1013,1013,1013,1013,1013,1013,1,1,1,1,528694,306177,306177,26.97,26.97,21.69,21.7,20261,20286,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.001,0,0,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_108.2020_PRRT_smaltalign_genome",528694,306177,306177,142614,26.97,114666,21.69,22146,4.19,0,0,20261,100,100,100,142612,26.97,114710,21.7,22142,4.19,0,0,20286,100,100,100,"smaltalign_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142606,0,0,469740,8,0.990128,0.995261,0.989011,0.992021,0.992126,831.1,7.14," 4;53.97",1426056,1400472," 285%"
"V2.252","SSNGS_HUN_PRRT","SSNGS_108.2020_PRRT",1013,NA,"viralngs_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,37.02,37.06,1013,1013,1013,1013,1013,1013,1,1,1,1,528698,306177,306177,26.97,26.97,21.69,21.7,20261,20286,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.001,0,0,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_108.2020_PRRT_viralngs_genome",528698,306177,306177,142612,26.97,114664,21.69,22142,4.19,0,0,20261,100,100,100,142612,26.97,114710,21.7,22142,4.19,0,0,20286,100,100,100,"viralngs_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142609,0,0,469742,3,1,1,1,1,1,948.27,27.27," 6;45.72",1266328,6590184," 240%"
"V2.352","SSNGS_HUN_PRRT","SSNGS_108.2020_PRRT",1013,NA,"vpipe_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,37.02,37.06,1013,1013,1013,1013,1013,1013,1,1,1,1,528701,306177,306177,26.98,26.97,21.69,21.7,20262,20286,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.001,0,0,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_108.2020_PRRT_vpipe_genome",528701,306177,306177,142619,26.98,114672,21.69,22139,4.19,0,0,20262,100,100,100,142612,26.97,114710,21.7,22142,4.19,0,0,20286,100,100,100,"vpipe_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142608,0,0,469735,11,0.990128,0.99683,0.987441,0.994681,0.992114,30719.01,6484.38," 2;43;32",1186532,18711760," 379%"
"V253","SSNGS_HUN_PRRT","SSNGS_11.2020_PRRT",1013,NA,"shiver_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,37.02,36.9,1013,1013,1013,1013,1013,1013,1,1,1,1,474520,275885,275885,30.31,30.29,24.16,24.15,19251,19249,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.013,0,0,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_11.2020_PRRT_shiver_genome",474520,275885,275885,143811,30.31,114658,24.16,6699,1.41,0,0,19251,100,100,100,143744,30.29,114594,24.15,6716,1.42,0,0,19249,100,100,100,"shiver_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143737,0,0,407959,74,0.974334,0.965753,0.989474,0.954853,0.97747,1050.92,22.06," 16;56.84",1462624,6723592," 105%"
"V2.153","SSNGS_HUN_PRRT","SSNGS_11.2020_PRRT",1013,NA,"smaltalign_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,36.92,36.9,1013,1013,1013,1013,1013,1013,1,1,1,1,474505,275885,275885,30.31,30.29,24.16,24.15,19252,19249,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.013,0,0,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_11.2020_PRRT_smaltalign_genome",474505,275885,275885,143822,30.31,114654,24.16,6706,1.41,0,0,19252,100,100,100,143744,30.29,114594,24.15,6716,1.42,0,0,19249,100,100,100,"smaltalign_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143736,0,0,407948,86,0.970385,0.959184,0.989474,0.945824,0.974093,778.52,6.79," 5;09.86",1425660,1329336," 253%"
"V2.253","SSNGS_HUN_PRRT","SSNGS_11.2020_PRRT",1013,NA,"viralngs_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,37.02,36.9,1013,1013,1013,1013,1013,1013,1,1,1,1,474526,275885,275885,30.3,30.29,24.16,24.15,19249,19249,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.013,0,0,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_11.2020_PRRT_viralngs_genome",474526,275885,275885,143805,30.3,114642,24.16,6699,1.41,0,0,19249,100,100,100,143744,30.29,114594,24.15,6716,1.42,0,0,19249,100,100,100,"viralngs_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143735,0,0,407965,70,0.970385,0.959184,0.989474,0.945824,0.974093,797.24,23.24," 6;03.23",1250856,5473680," 225%"
"V2.353","SSNGS_HUN_PRRT","SSNGS_11.2020_PRRT",1013,NA,"vpipe_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,36.92,36.9,1013,1013,1013,1013,1013,1013,1,1,1,1,474508,275885,275885,30.31,30.29,24.16,24.15,19251,19249,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.013,0,0,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_11.2020_PRRT_vpipe_genome",474508,275885,275885,143819,30.31,114656,24.16,6707,1.41,0,0,19251,100,100,100,143744,30.29,114594,24.15,6716,1.42,0,0,19249,100,100,100,"vpipe_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143737,0,0,407951,82,0.977295,0.965928,0.994737,0.954853,0.980121,24719.34,4371.2," 2;08;04",1178584,18350808," 378%"
"V254","SSNGS_HUN_PRRT","SSNGS_110.2020_PRRT",1013,NA,"shiver_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,37.31,37.14,1013,1013,1013,1013,1013,1013,1,1,1,1,830681,541353,541353,41.74,41.74,30.94,30.94,47086,47086,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.006,0,296.15,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_110.2020_PRRT_shiver_genome",830681,541353,541353,346691,41.74,257038,30.94,49491,5.96,0,0,47086,100,100,100,346690,41.74,257034,30.94,49486,5.96,0,0,47086,100,100,100,"shiver_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,346667,0,0,736015,24,0.997038,0.99665,0.998322,0.995204,0.997485,2160.69,44.24," 35;17.31",1440120,15769960," 104%"
"V2.154","SSNGS_HUN_PRRT","SSNGS_110.2020_PRRT",1013,NA,"smaltalign_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,37.41,37.14,1013,1013,1013,1013,1013,1013,1,1,1,1,830681,541353,541353,41.74,41.74,30.94,30.94,47085,47086,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.006,0,197.43,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_110.2020_PRRT_smaltalign_genome",830681,541353,541353,346697,41.74,257040,30.94,49487,5.96,0,0,47085,100,100,100,346690,41.74,257034,30.94,49486,5.96,0,0,47086,100,100,100,"smaltalign_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,346672,0,0,736009,25,0.994077,0.991667,0.998322,0.98801,0.994983,1106.41,7.75," 9;04.50",1425952,1337584," 204%"
"V2.254","SSNGS_HUN_PRRT","SSNGS_110.2020_PRRT",1013,NA,"viralngs_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,37.12,37.14,1013,1013,1013,1013,1013,1013,1,1,1,1,830689,541353,541353,41.73,41.74,30.94,30.94,47079,47086,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.006,0,98.72,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_110.2020_PRRT_viralngs_genome",830689,541353,541353,346686,41.73,257036,30.94,49490,5.96,0,0,47079,100,100,100,346690,41.74,257034,30.94,49486,5.96,0,0,47086,100,100,100,"viralngs_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,346667,0,0,736020,19,0.994077,0.994966,0.994966,0.992806,0.994966,1296.39,37.15," 9;12.99",1448912,10093584," 241%"
"V2.354","SSNGS_HUN_PRRT","SSNGS_110.2020_PRRT",1013,NA,"vpipe_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,37.41,37.14,1013,1013,1013,1013,1013,1013,1,1,1,1,830676,541353,541353,41.74,41.74,30.94,30.94,47085,47086,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.006,0,197.43,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_110.2020_PRRT_vpipe_genome",830676,541353,541353,346695,41.74,257042,30.94,49491,5.96,0,0,47085,100,100,100,346690,41.74,257034,30.94,49486,5.96,0,0,47086,100,100,100,"vpipe_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,346673,0,0,736011,22,0.997038,0.99665,0.998322,0.995204,0.997485,54332.23,13602.63," 4;58;19",1461224,20493040," 379%"
"V255","SSNGS_HUN_PRRT","SSNGS_111.2017_PRRT",1013,NA,"shiver_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,36.33,35.79,1013,1013,1013,1013,1013,1013,1,1,1,1,594953,321756,321756,14.83,12.87,11.78,8.91,12367,10544,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.051,0,0,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_111.2017_PRRT_shiver_genome",594953,321756,321756,88233,14.83,70092,11.78,12787,2.15,0,0,12367,100,100,100,76878,12.87,53186,8.91,18784,3.15,0,0,10544,100,100,100,"shiver_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76870,0,0,555279,11363,0.891412,0.820557,0.985356,0.807477,0.895437,2950.77,35.33," 47;28.55",1512612,12235016," 104%"
"V2.155","SSNGS_HUN_PRRT","SSNGS_111.2017_PRRT",1013,NA,"smaltalign_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,36.33,35.79,1013,1013,1013,1013,1013,1013,1,1,1,1,594955,321756,321756,14.83,12.87,11.78,8.91,12367,10544,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.051,0,0,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_111.2017_PRRT_smaltalign_genome",594955,321756,321756,88231,14.83,70086,11.78,12789,2.15,0,0,12367,100,100,100,76878,12.87,53186,8.91,18784,3.15,0,0,10544,100,100,100,"smaltalign_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76872,0,0,555281,11359,0.890424,0.81913,0.985356,0.805607,0.894587,1038.71,7.79," 7;27.25",1425732,1434696," 233%"
